"PD","SR","norep_filter_name"
141.23518,1014,"MBREF515"
101.72258,750,"MBREF714"
94.76523,684,"MBREF715"
110.34488,839,"MBREF914"
142.02252,1107,"MBREF915"
182.67814,1558,"MBREJ515"
137.35854,1148,"MBREJ715"
105.24945,749,"MBREJ915"
99.10117,694,"MBREK515"
70.86034,460,"MBREK715"
101.37023,673,"MBREK915"
138.1079,1069,"MBREP515"
164.82806,1417,"MBREP714"
126.2189,989,"MBREP715"
148.24851,1263,"MBREP914"
202.03386,1848,"MBREP915"
277.37456,2903,"MDPEF514"
85.93126,555,"MDPEF515"
104.76541,789,"MDPEF714"
95.25207,690,"MDPEF715"
115.97643,860,"MDPEF914"
132.82424,997,"MDPEF915"
100.80428,742,"MDPEJ515"
93.7729,734,"MDPEJ715"
124.78142,964,"MDPEJ915"
87.32886,572,"MDPEK515"
64.44119,434,"MDPEK715"
107.52544,774,"MDPEK915"
200.93691,1997,"MDPEP514"
164.29716,1414,"MDPEP515"
130.94095,1077,"MDPEP714"
149.25852,1311,"MDPEP715"
140.87075,1214,"MDPEP914"
154.5245,1348,"MDPEP915"
371.69941,4353,"MINEF514"
192.15374,1562,"MINEF515"
132.74355,950,"MINEF714"
235.60339,2026,"MINEF715"
236.35885,2029,"MINEF914"
253.48329,2128,"MINEF915"
234.24431,2185,"MINEJ515"
153.56894,1260,"MINEJ715"
127.57107,979,"MINEJ915"
164.39455,1209,"MINEK515"
134.60572,929,"MINEK715"
176.92398,1234,"MINEK915"
83.28244,632,"MINEP514"
128.40516,975,"MINEP515"
182.60298,1578,"MINEP714"
187.93911,1579,"MINEP715"
255.44243,2472,"MINEP914"
264.36881,2550,"MINEP915"
195.75232,1820,"MOTEF514"
117.30989,850,"MOTEF515"
75.87458,564,"MOTEF714"
87.912,646,"MOTEF715"
114.26951,874,"MOTEF914"
124.61819,971,"MOTEF915"
113.03442,851,"MOTEJ515"
79.54958,544,"MOTEJ715"
105.29688,808,"MOTEJ915"
85.35783,571,"MOTEK515"
56.85137,374,"MOTEK715"
94.83336,667,"MOTEK915"
190.1309,1934,"MOTEP514"
129.3064,1076,"MOTEP515"
114.20736,945,"MOTEP714"
83.64352,621,"MOTEP715"
131.46441,1119,"MOTEP914"
148.15194,1239,"MOTEP915"
